赞成数,反对数,留言数,持续时长,问题描述
0,0,0,1,环境污染
0,0,0,1,举报A2区丽发新城小区附近仍存在非法搅拌站
1,0,0,1,搅拌站污染居民生活环境
1,0,0,1,"丽发新城小区附近搅拌站粉尘大,无法呼吸"
0,0,0,1,A市暮云街道丽发新城社区附近搅拌站噪音污染严重
1,0,0,1,"丽发新城小区噪音大粉尘大,求撤走搅拌站"
0,0,0,1,投诉小区附近搅拌站噪音扰民
9,2,0,1,投诉小区附近搅拌站噪音扰民
0,0,0,1,A市暮云街道丽发新城社区搅拌厂危害居民健康
0,0,0,1,丽发新城社区附近搅拌站修建严重影响居民生活
0,0,0,1,A市暮云街道丽发新城社区搅拌站灰尘，噪音污染严重
2,0,0,1,反对搅拌站修建在居民区百米范围内
0,0,0,1,再次希望领导“拯救”丽发新城小区居民
0,0,0,1,投诉小区附近搅拌站噪音扰民
1,0,0,1,搅拌站丽发新城小区粉尘大的孩子生活不了
0,0,0,1,A市暮云街道丽发新城社区搅拌站灰尘，噪音污染严重
2,0,0,1,丽发新城小区附近的搅拌站噪音严重扰民
0,0,0,1,丽发新城小区附近建搅拌站合理吗？
0,0,0,1,暮云街道丽发新城小区附近水泥搅拌站非法经营何时休
0,0,0,1,投诉A2区丽发新城附近建搅拌站噪音扰民
1,0,0,1,丽发新城小区旁的搅拌站严重影响生活
0,0,0,1,搅拌站大量加工砂石料噪音污水影响丽发新城小区环境
0,0,0,1,投诉丽发新城小区附近违建搅拌站噪音扰民
0,0,0,1,A市丽发新城违建搅拌站，彻夜施工扰民污染环境
1,0,0,1,丽发新城小区旁边建搅拌站
0,0,0,1,投诉A2区丽发新城附近建搅拌站噪音扰民
40,4,27,52.0,A市万家丽南路丽发新城居民区附近搅拌站扰民
