赞成数,反对数,留言数,持续时长,问题描述
7,0,0,1,A7县恒基凯旋门万瀛格林幼儿园何时办成普惠性幼儿园
5,0,0,1,A7县恒大翡翠华庭小区内幼儿园收费是否合理？
4,0,0,1,A市长房云时代配套幼儿园无视政策精神，开办盈利性幼儿园
1,0,0,1,恳请教育局将A2区万婴山水园纳入普惠幼儿园范畴
0,0,0,1,投诉A市长房云时代小区配套幼儿园违规办园
5,0,0,1,反映A5区翡翠云天小区配套幼儿园回收过程中的问题
0,0,0,1,A7县海德公园楼盘没有配套公办幼儿园或普惠性幼儿园吗
0,0,0,1,坚决反对A3区巴罗比幼儿园继续留在高心麓城小区内办学
1,0,0,1,举报A3区长房云时代小区幼儿园无招标公告，无教学历史
4,0,0,1,咨询A7县山水湾小区幼儿园性质问题
15,0,0,1,反映A7县恒基凯旋门小区配套幼儿园公办或者普惠问题
0,0,0,1,A7县星沙恒大翡翠华庭小区内幼儿园收费是否合理？
1,0,0,1,A4区君悦幼儿园为什么一直不改为普惠或公办？
1,0,0,1,反映A7县恒基凯旋门小区配套幼儿园公办或普惠问题
2,1,0,1,A3区高心麓城小区配套幼儿园无证办学且拒绝转成普惠制幼儿园
100,4,16,175.0,关于A7县恒基凯旋门万婴格林幼儿园办普惠园的咨询
